yyyymmdd,from_ccy,to_ccy,fx_rate
20170906,GBP,AUD,1.6305
20170907,GBP,AUD,1.6281
20170908,GBP,AUD,1.6373
20170910,GBP,AUD,1.6365
20170911,GBP,AUD,1.6396
20170912,GBP,AUD,1.6564
20170913,GBP,AUD,1.6544
20170914,GBP,AUD,1.6738
20170915,GBP,AUD,1.6987
20170917,GBP,AUD,1.6954
20170918,GBP,AUD,1.6961
20170919,GBP,AUD,1.6852
20170920,GBP,AUD,1.6802
20170921,GBP,AUD,1.7123
20170922,GBP,AUD,1.6967
20170924,GBP,AUD,1.6972
20170925,GBP,AUD,1.6966
20170926,GBP,AUD,1.7067
20170927,GBP,AUD,1.7054
20170928,GBP,AUD,1.7112
20170929,GBP,AUD,1.7106
20171001,GBP,AUD,1.7074
20171002,GBP,AUD,1.6961
20171003,GBP,AUD,1.6896
20171004,GBP,AUD,1.6844
20171005,GBP,AUD,1.683
20171006,GBP,AUD,1.6826
20171008,GBP,AUD,1.6855
20171009,GBP,AUD,1.6949
20171010,GBP,AUD,1.6975
20171011,GBP,AUD,1.6978
20171012,GBP,AUD,1.6959
20171013,GBP,AUD,1.6846
20171015,GBP,AUD,1.6864
20171016,GBP,AUD,1.6882
20171017,GBP,AUD,1.6811
20171018,GBP,AUD,1.683
20171019,GBP,AUD,1.6701
20171020,GBP,AUD,1.6872
20171022,GBP,AUD,1.6862
20171023,GBP,AUD,1.6906
20171024,GBP,AUD,1.689
20171025,GBP,AUD,1.7212
20171026,GBP,AUD,1.7180000000000002
20171027,GBP,AUD,1.71
20171029,GBP,AUD,1.7098
20171030,GBP,AUD,1.7179
20171031,GBP,AUD,1.7349
20171101,GBP,AUD,1.7256
20171102,GBP,AUD,1.6931
20171103,GBP,AUD,1.7091
20171105,GBP,AUD,1.7088
20171106,GBP,AUD,1.7125
20171107,GBP,AUD,1.7222
20171108,GBP,AUD,1.7083
20171109,GBP,AUD,1.7116
20171110,GBP,AUD,1.723
20171112,GBP,AUD,1.7202
20171113,GBP,AUD,1.7206
20171114,GBP,AUD,1.7253
20171115,GBP,AUD,1.7358
20171116,GBP,AUD,1.7389
20171117,GBP,AUD,1.7472
20171119,GBP,AUD,1.7471
20171120,GBP,AUD,1.7530000000000001
20171121,GBP,AUD,1.7472
20171122,GBP,AUD,1.7496
20171123,GBP,AUD,1.7456
20171124,GBP,AUD,1.751
20171126,GBP,AUD,1.7495
20171127,GBP,AUD,1.7521
20171128,GBP,AUD,1.7561
20171129,GBP,AUD,1.7714
20171130,GBP,AUD,1.7874
20171201,GBP,AUD,1.7692
20171203,GBP,AUD,1.7706
20171204,GBP,AUD,1.7741
20171205,GBP,AUD,1.7672
20171206,GBP,AUD,1.7704
20171207,GBP,AUD,1.794
20171208,GBP,AUD,1.7845
20171210,GBP,AUD,1.7818
20171211,GBP,AUD,1.7726
20171212,GBP,AUD,1.7619999999999998
20171213,GBP,AUD,1.7572
20171214,GBP,AUD,1.7519
20171215,GBP,AUD,1.7422
20171217,GBP,AUD,1.7416
20171218,GBP,AUD,1.7464
20171219,GBP,AUD,1.7468
20171220,GBP,AUD,1.7447
20171221,GBP,AUD,1.7379
20171222,GBP,AUD,1.7333
20171224,GBP,AUD,1.7342
20171225,GBP,AUD,1.7327
20171226,GBP,AUD,1.7308
20171227,GBP,AUD,1.7249
20171228,GBP,AUD,1.7249
20171229,GBP,AUD,1.7302
20171231,GBP,AUD,1.7301
20180101,GBP,AUD,1.7304
20180102,GBP,AUD,1.7356
20180103,GBP,AUD,1.7249
20180104,GBP,AUD,1.7234
20180105,GBP,AUD,1.7257
20180107,GBP,AUD,1.7245
20180108,GBP,AUD,1.7304
20180109,GBP,AUD,1.7307
20180110,GBP,AUD,1.7224
20180111,GBP,AUD,1.7155
20180112,GBP,AUD,1.7342
20180114,GBP,AUD,1.7373
20180115,GBP,AUD,1.7315
20180116,GBP,AUD,1.7326
20180117,GBP,AUD,1.7354
20180118,GBP,AUD,1.7363
20180119,GBP,AUD,1.7328
20180121,GBP,AUD,1.7368
20180122,GBP,AUD,1.7448
20180123,GBP,AUD,1.7499
20180124,GBP,AUD,1.7665
20180125,GBP,AUD,1.7621
20180126,GBP,AUD,1.7461
20180128,GBP,AUD,1.7457
20180129,GBP,AUD,1.7388
20180130,GBP,AUD,1.7504
20180131,GBP,AUD,1.7619
20180201,GBP,AUD,1.7744
20180202,GBP,AUD,1.7801
20180204,GBP,AUD,1.7824
20180205,GBP,AUD,1.7719
20180206,GBP,AUD,1.7643
20180207,GBP,AUD,1.7744
20180208,GBP,AUD,1.7882
20180209,GBP,AUD,1.7701
20180211,GBP,AUD,1.7675
20180212,GBP,AUD,1.7601
20180213,GBP,AUD,1.7677
20180214,GBP,AUD,1.7663
20180215,GBP,AUD,1.7747
20180216,GBP,AUD,1.774
20180218,GBP,AUD,1.7725
20180219,GBP,AUD,1.7690000000000001
20180220,GBP,AUD,1.7754
20180221,GBP,AUD,1.7835
20180222,GBP,AUD,1.7788
20180223,GBP,AUD,1.7813
20180225,GBP,AUD,1.7837
20180226,GBP,AUD,1.7782
20180227,GBP,AUD,1.7855
20180228,GBP,AUD,1.7728
20180301,GBP,AUD,1.776
20180302,GBP,AUD,1.78
20180304,GBP,AUD,1.7768
20180305,GBP,AUD,1.7835
20180306,GBP,AUD,1.7738
20180307,GBP,AUD,1.7758
20180308,GBP,AUD,1.7729
20180309,GBP,AUD,1.7656
20180311,GBP,AUD,1.7645
20180312,GBP,AUD,1.7664
20180313,GBP,AUD,1.7764
20180314,GBP,AUD,1.7724
20180315,GBP,AUD,1.7871
20180316,GBP,AUD,1.807
20180318,GBP,AUD,1.8061
20180319,GBP,AUD,1.8171
20180320,GBP,AUD,1.8218
20180321,GBP,AUD,1.821
20180322,GBP,AUD,1.8322
20180323,GBP,AUD,1.8358
20180325,GBP,AUD,1.8354
20180326,GBP,AUD,1.8366
20180327,GBP,AUD,1.8436
20180328,GBP,AUD,1.8375
20180329,GBP,AUD,1.8258
20180330,GBP,AUD,1.824
20180401,GBP,AUD,1.8234
20180402,GBP,AUD,1.8327
20180403,GBP,AUD,1.8292
20180404,GBP,AUD,1.8247
20180405,GBP,AUD,1.8224
20180406,GBP,AUD,1.8335
20180408,GBP,AUD,1.8349
20180409,GBP,AUD,1.8358
20180410,GBP,AUD,1.8266
20180411,GBP,AUD,1.8284
20180412,GBP,AUD,1.8348
20180413,GBP,AUD,1.8334
20180415,GBP,AUD,1.8337
20180416,GBP,AUD,1.8428
20180417,GBP,AUD,1.8399
20180418,GBP,AUD,1.8246
20180419,GBP,AUD,1.8224
20180420,GBP,AUD,1.8248
20180422,GBP,AUD,1.8249
20180423,GBP,AUD,1.8332
20180424,GBP,AUD,1.8384
20180425,GBP,AUD,1.8415
20180426,GBP,AUD,1.8425
20180427,GBP,AUD,1.8179
20180429,GBP,AUD,1.8175
20180430,GBP,AUD,1.8275
20180501,GBP,AUD,1.8177
20180502,GBP,AUD,1.8117
20180503,GBP,AUD,1.8023
20180504,GBP,AUD,1.7949
20180506,GBP,AUD,1.7946
20180507,GBP,AUD,1.8034
20180508,GBP,AUD,1.8171
20180509,GBP,AUD,1.8154
20180510,GBP,AUD,1.795
20180511,GBP,AUD,1.7955
20180513,GBP,AUD,1.7958
20180514,GBP,AUD,1.8011
20180515,GBP,AUD,1.8071
20180516,GBP,AUD,1.7944
20180517,GBP,AUD,1.7994
20180518,GBP,AUD,1.7931
20180520,GBP,AUD,1.7898
20180521,GBP,AUD,1.7707
20180522,GBP,AUD,1.7731
20180523,GBP,AUD,1.7655
20180524,GBP,AUD,1.7659
20180525,GBP,AUD,1.7631
20180527,GBP,AUD,1.7612
20180528,GBP,AUD,1.7639
20180529,GBP,AUD,1.7648
20180530,GBP,AUD,1.7542
20180531,GBP,AUD,1.7571
20180601,GBP,AUD,1.7623
20180603,GBP,AUD,1.7646
20180604,GBP,AUD,1.7406
20180605,GBP,AUD,1.7581
20180606,GBP,AUD,1.7493
20180607,GBP,AUD,1.7609
20180608,GBP,AUD,1.7627
20180610,GBP,AUD,1.7671
20180611,GBP,AUD,1.7582
20180612,GBP,AUD,1.7659
20180613,GBP,AUD,1.765
20180614,GBP,AUD,1.7734
20180615,GBP,AUD,1.7841
20180617,GBP,AUD,1.7817
20180618,GBP,AUD,1.784
20180619,GBP,AUD,1.7852
20180620,GBP,AUD,1.7879
20180621,GBP,AUD,1.7943
20180622,GBP,AUD,1.7826
