yyyymmdd,portfolio,mkt_val,weight
2019-11-07,LPPI GEF FIRST EAGLE BNYMILTD,874067428.91281,0.12897230950238062
2019-11-07,LPPI GEF INTERNAL EQUITY BNYMILTD,2846725261.0838494,0.4200462336154335
2019-11-07,LPPI GEF INTRNL INCUBATOR BNYMILTD,11256561.32614304,0.0016609527632137251
2019-11-07,LPPI GEF MAGELLAN BNYMILTD,959182492.8879694,0.14153139363159167
2019-11-07,LPPI GEF ROBECO BNYMILTD,1041210715.2719392,0.15363500135713565
2019-11-07,LPPI GEF WELLINGTON BNYMILTD,692088851.93807,0.10212060839096652
2019-11-07,LPPI GF FT EGL BNYMILTD BRZEX650557,2805137.1517734816,0.0004139097339265398
2019-11-08,LPPI  GF BARON BNYMILTD BRZEX589145,19834715.98278228,0.0029213136937926865
2019-11-08,LPPI GEF BARON BNYMILTD,327655926.6113612,0.048258101910458186
2019-11-08,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-08,LPPI GEF FIRST EAGLE BNYMILTD,873597725.5823325,0.12866597136178548
2019-11-08,LPPI GEF INTERNAL EQUITY BNYMILTD,2851738839.457002,0.42001225175383694
2019-11-08,LPPI GEF INTRNL INCUBATOR BNYMILTD,11322566.25958289,0.0016676199392876181
2019-11-08,LPPI GEF MAGELLAN BNYMILTD,963317441.8628004,0.1418801477584046
2019-11-08,LPPI GEF ROBECO BNYMILTD,1043259553.9975985,0.15365425065419697
2019-11-08,LPPI GEF WELLINGTON BNYMILTD,696118684.9875586,0.10252635070370468
2019-11-08,LPPI GF FT EGL BNYMILTD BRZEX650557,2810864.9235916617,0.0004139922245328775
2019-11-11,LPPI  GF BARON BNYMILTD BRZEX589145,20098716.699767668,0.002978295571826693
2019-11-11,LPPI GEF BARON BNYMILTD,323386843.1796905,0.04792055221317781
2019-11-11,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-11,LPPI GEF FIRST EAGLE BNYMILTD,867044605.0686073,0.1284815914581207
2019-11-11,LPPI GEF INTERNAL EQUITY BNYMILTD,2836653169.5725017,0.4203448259879992
2019-11-11,LPPI GEF INTRNL INCUBATOR BNYMILTD,11274849.577921737,0.0016707452059028492
2019-11-11,LPPI GEF MAGELLAN BNYMILTD,959534746.1764903,0.14218709225272702
2019-11-11,LPPI GEF ROBECO BNYMILTD,1037483893.4944706,0.153737859585424
2019-11-11,LPPI GEF WELLINGTON BNYMILTD,690015546.9072045,0.10224882904434672
2019-11-11,LPPI GF FT EGL BNYMILTD BRZEX650557,2903218.361687776,0.0004302086804756346
2019-11-12,LPPI  GF BARON BNYMILTD BRZEX589145,19559034.173172466,0.002911853080761678
2019-11-12,LPPI GEF BARON BNYMILTD,269062950.6103804,0.04005677247234875
2019-11-12,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-12,LPPI GEF FIRST EAGLE BNYMILTD,868615961.1248485,0.12931528418051266
2019-11-12,LPPI GEF INTERNAL EQUITY BNYMILTD,2855552569.407919,0.4251206615259312
2019-11-12,LPPI GEF INTRNL INCUBATOR BNYMILTD,11290900.34655168,0.0016809338675717901
2019-11-12,LPPI GEF MAGELLAN BNYMILTD,962350302.7180754,0.14326999323847706
2019-11-12,LPPI GEF ROBECO BNYMILTD,1038006066.4066632,0.15453325228406722
2019-11-12,LPPI GEF WELLINGTON BNYMILTD,689733664.946371,0.10268416525054679
2019-11-12,LPPI GF FT EGL BNYMILTD BRZEX650557,2868741.063090658,0.0004270840997826813
2019-11-13,LPPI  GF BARON BNYMILTD BRZEX589145,19687183.331778403,0.002900166263583855
2019-11-13,LPPI GEF BARON BNYMILTD,325526912.4021893,0.047954151354578985
2019-11-13,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-13,LPPI GEF FIRST EAGLE BNYMILTD,865276967.3228664,0.12746602837975607
2019-11-13,LPPI GEF INTERNAL EQUITY BNYMILTD,2869161983.1236343,0.4226631432227765
2019-11-13,LPPI GEF INTRNL INCUBATOR BNYMILTD,11382405.948703006,0.001676769559897356
2019-11-13,LPPI GEF MAGELLAN BNYMILTD,967251658.1759626,0.1424881650240653
2019-11-13,LPPI GEF ROBECO BNYMILTD,1039333598.8573068,0.15310672884067011
2019-11-13,LPPI GEF WELLINGTON BNYMILTD,687786368.6062081,0.10131946196512548
2019-11-13,LPPI GF FT EGL BNYMILTD BRZEX650557,2887641.3934655646,0.00042538538954625535
2019-11-14,LPPI  GF BARON BNYMILTD BRZEX589145,20000401.491653398,0.002949364311654785
2019-11-14,LPPI GEF BARON BNYMILTD,324719548.81045437,0.04788485115950667
2019-11-14,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-14,LPPI GEF FIRST EAGLE BNYMILTD,862829920.9807366,0.12723743456002637
2019-11-14,LPPI GEF INTERNAL EQUITY BNYMILTD,2862263378.4539504,0.4220843997802497
2019-11-14,LPPI GEF INTRNL INCUBATOR BNYMILTD,11315484.323411822,0.001668640784360629
2019-11-14,LPPI GEF MAGELLAN BNYMILTD,970909596.9496423,0.14317543156728305
2019-11-14,LPPI GEF ROBECO BNYMILTD,1034669237.1418607,0.15257776318474364
2019-11-14,LPPI GEF WELLINGTON BNYMILTD,691729658.2326171,0.10200609063552284
2019-11-14,LPPI GF FT EGL BNYMILTD BRZEX650557,2821166.3545175255,0.00041602401665424604
2019-11-15,LPPI GEF BARON BNYMILTD,326101091.1237212,0.04804810195892558
2019-11-15,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-15,LPPI GEF FIRST EAGLE BNYMILTD,865279354.5750767,0.12749123441541396
2019-11-15,LPPI GEF INTERNAL EQUITY BNYMILTD,2870649798.94974,0.4229647737547024
2019-11-15,LPPI GEF INTRNL INCUBATOR BNYMILTD,11408492.982595652,0.0016809402021211728
2019-11-15,LPPI GEF MAGELLAN BNYMILTD,977503295.1060251,0.14402643617840852
2019-11-15,LPPI GEF ROBECO BNYMILTD,1041506204.2903688,0.1534566968854801
2019-11-15,LPPI GEF WELLINGTON BNYMILTD,694523106.8663878,0.10233181660494768
2019-11-18,LPPI  GF BARON BNYMILTD BRZEX589145,19633349.94784709,0.0028984160991865735
2019-11-18,LPPI GEF BARON BNYMILTD,308936847.01892525,0.045607475719128675
2019-11-18,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-18,LPPI GEF FIRST EAGLE BNYMILTD,858208062.3961793,0.1266948366482697
2019-11-18,LPPI GEF INTERNAL EQUITY BNYMILTD,2863265994.6763144,0.42269588619711396
2019-11-18,LPPI GEF INTRNL INCUBATOR BNYMILTD,11429417.193408076,0.0016872926365439933
2019-11-18,LPPI GEF MAGELLAN BNYMILTD,976256164.5511842,0.1441219451485186
2019-11-18,LPPI GEF ROBECO BNYMILTD,1040129110.1601584,0.1535513280275122
2019-11-18,LPPI GEF WELLINGTON BNYMILTD,693256733.6969081,0.10234353705068829
2019-11-18,LPPI GF FT EGL BNYMILTD BRZEX650557,2704667.7402236173,0.00039928247303890795
2019-11-19,LPPI  GF BARON BNYMILTD BRZEX589145,19630509.828476578,0.002888003714688062
2019-11-19,LPPI GEF BARON BNYMILTD,322203447.7731587,0.04740196572502348
2019-11-19,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-19,LPPI GEF FIRST EAGLE BNYMILTD,861577721.544523,0.12675369524552782
2019-11-19,LPPI GEF INTERNAL EQUITY BNYMILTD,2859410859.82846,0.42067115205661665
2019-11-19,LPPI GEF INTRNL INCUBATOR BNYMILTD,11508472.78379962,0.001693104888278853
2019-11-19,LPPI GEF MAGELLAN BNYMILTD,983886161.5300319,0.14474748308406118
2019-11-19,LPPI GEF ROBECO BNYMILTD,1040971379.1623096,0.15314575302286026
2019-11-19,LPPI GEF WELLINGTON BNYMILTD,695344682.8559182,0.10229780299253322
2019-11-19,LPPI GF FT EGL BNYMILTD BRZEX650557,2725967.8716340833,0.00040103927041055837
2019-11-20,LPPI GEF BARON BNYMILTD,325220997.6850787,0.04799622284553342
2019-11-20,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-20,LPPI GEF FIRST EAGLE BNYMILTD,860436644.4322193,0.1269835257396929
2019-11-20,LPPI GEF INTERNAL EQUITY BNYMILTD,2860781922.0355363,0.42219514613090653
2019-11-20,LPPI GEF INTRNL INCUBATOR BNYMILTD,11511648.775992734,0.0016988929494247383
2019-11-20,LPPI GEF MAGELLAN BNYMILTD,983051376.7590773,0.14507904865732438
2019-11-20,LPPI GEF ROBECO BNYMILTD,1039560992.908988,0.15341875657579346
2019-11-20,LPPI GEF WELLINGTON BNYMILTD,695407075.1721584,0.10262840710132559
2019-11-21,LPPI  GF BARON BNYMILTD BRZEX589145,20078430.369248386,0.0029626739053496914
2019-11-21,LPPI GEF BARON BNYMILTD,319022972.76040214,0.04707345241747151
2019-11-21,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-21,LPPI GEF FIRST EAGLE BNYMILTD,859683120.4148914,0.12685059045370675
2019-11-21,LPPI GEF INTERNAL EQUITY BNYMILTD,2844303128.9685926,0.4196913057509671
2019-11-21,LPPI GEF INTRNL INCUBATOR BNYMILTD,11462499.301217543,0.0016913497193395165
2019-11-21,LPPI GEF MAGELLAN BNYMILTD,980852223.4815834,0.1447297041686975
2019-11-21,LPPI GEF ROBECO BNYMILTD,1035856293.5380104,0.1528458327727435
2019-11-21,LPPI GEF WELLINGTON BNYMILTD,703146158.6573775,0.10375277039044103
2019-11-21,LPPI GF FT EGL BNYMILTD BRZEX650557,2726578.3623030456,0.0004023204212844412
2019-11-22,LPPI  GF BARON BNYMILTD BRZEX589145,20442682.437701937,0.002994018483133582
2019-11-22,LPPI GEF BARON BNYMILTD,326139406.47681904,0.0477661096602928
2019-11-22,LPPI GEF CASH ONLY BNYMILTD,0.0,0.0
2019-11-22,LPPI GEF FIRST EAGLE BNYMILTD,865555037.1094166,0.1267684799767544
2019-11-22,LPPI GEF INTERNAL EQUITY BNYMILTD,2861004690.592753,0.41902039764452326
2019-11-22,LPPI GEF INTRNL INCUBATOR BNYMILTD,11513979.117664827,0.0016863279267658512
2019-11-22,LPPI GEF MAGELLAN BNYMILTD,990225940.4503323,0.14502767810543318
2019-11-22,LPPI GEF ROBECO BNYMILTD,1043733237.8364199,0.1528643129426019
2019-11-22,LPPI GEF WELLINGTON BNYMILTD,706524677.6900022,0.10347702412539458
2019-11-22,LPPI GF FT EGL BNYMILTD BRZEX650557,2701443.0794369965,0.00039565113510010093
