yyyymmdd,security,allocation,contribution
2020-01-10,Morgan Stanley Liquidity Funds,0.0,0.019102181855598928
2020-01-10,Colgate-Palmolive Co,0.024444716465467958,0.018355074744759413
2020-01-10,Alibaba Group Holding Ltd,0.01353468971762569,0.017667999874751407
2020-01-10,Facebook Inc,0.011654052228678883,0.01723581386607385
2020-01-10,Microsoft Corp,0.011784854155182854,0.01692145782407392
2020-01-10,Moody's Corp,0.012949944288553571,0.01660255155548022
2020-01-10,3M Co,0.01336922667843911,0.01517821767989306
2020-01-10,Cie Financiere Richemont SA,0.0129679363062926,0.014653950078195453
2020-01-10,Automatic Data Processing Inc,0.011231515136662335,0.014552489672277954
2020-01-10,Rockwell Automation Inc,0.012054238934543342,0.014529214479422046
2020-01-10,Anheuser-Busch InBev SA/NV,0.014497401987235654,0.014391921843005587
2020-01-10,Assa Abloy AB,0.011213845572049758,0.013717425013232466
2020-01-13,Visa Inc,0.03303125695956912,0.04173837476747336
2020-01-13,Accenture PLC,0.024307571178597213,0.0342751550887281
2020-01-13,Alphabet Inc,0.05216315973978813,0.033787278808398595
2020-01-13,Nestle SA,0.030692952833854183,0.02934307731877389
2020-01-13,Starbucks Corp,0.022791326419284497,0.023964448281255154
2020-01-13,Apple Inc,0.016600332573167044,0.02269154363890876
2020-01-13,British American Tobacco PLC,0.027922579363398918,0.021225335125664865
2020-01-13,Morgan Stanley Liquidity Funds,0.0,0.01948471777621235
2020-01-13,Texas Instruments Inc,0.013463903807042474,0.019359363903455162
2020-01-13,Colgate-Palmolive Co,0.025064737635418784,0.018581400750226903
2020-01-13,Alibaba Group Holding Ltd,0.014292339608584663,0.018456505431280936
2020-01-13,Facebook Inc,0.012162361236883619,0.017786185226341924
2020-01-13,Microsoft Corp,0.012230810119838028,0.017364657792976638
2020-01-13,Moody's Corp,0.013465561887315916,0.017070129498877807
2020-01-13,3M Co,0.013744467548880179,0.015406074566044047
2020-01-13,Automatic Data Processing Inc,0.011603533981269868,0.014862371303958295
2020-01-13,Rockwell Automation Inc,0.012451556862782057,0.014825748924296573
2020-01-13,Cie Financiere Richemont SA,0.013245934641297193,0.01478867658870759
2020-01-13,Anheuser-Busch InBev SA/NV,0.01468842168247814,0.014399805863383092
2020-01-13,Assa Abloy AB,0.011614882083190503,0.014016309839091414
2020-01-14,Visa Inc,0.032179324065045214,0.041092075578172106
2020-01-14,Accenture PLC,0.023384287934728517,0.03331390866800185
2020-01-14,Alphabet Inc,0.050316880445540384,0.032934696381355134
2020-01-14,Nestle SA,0.02986360777116352,0.028851121630573386
2020-01-14,Starbucks Corp,0.022100096222829928,0.02349122699795618
2020-01-14,Apple Inc,0.015895213084536848,0.02194693829075302
2020-01-14,British American Tobacco PLC,0.027071832787796957,0.02081320142250105
2020-01-14,Morgan Stanley Liquidity Funds,0.0,0.019244483139258736
2020-01-14,Texas Instruments Inc,0.013140882370163504,0.019095542200736275
2020-01-14,Colgate-Palmolive Co,0.024380626711928033,0.018282156501495037
2020-01-14,Alibaba Group Holding Ltd,0.013632422393234889,0.01778460940335005
2020-01-14,Facebook Inc,0.011653544223290948,0.017215242535480506
2020-01-14,Microsoft Corp,0.011787983933077515,0.016910421172517544
2020-01-14,Moody's Corp,0.012963025233436388,0.016605754885790802
2020-01-14,3M Co,0.013373981388626504,0.01515444276334288
2020-01-14,Cie Financiere Richemont SA,0.013053247271862904,0.01472716898859793
2020-01-14,Automatic Data Processing Inc,0.011188904576588811,0.014482484985564485
2020-01-14,Rockwell Automation Inc,0.011870563908234886,0.014280377489396692
2020-01-14,Anheuser-Busch InBev SA/NV,0.01412851654724344,0.013966420881458419
2020-01-14,Assa Abloy AB,0.01136052357974233,0.013882770350691472
2020-01-15,Visa Inc,0.03264535890719889,0.041763540222531516
2020-01-15,Accenture PLC,0.023225031711107857,0.033248272371952964
2020-01-15,Alphabet Inc,0.050384258124896476,0.03297844619862687
2020-01-15,Nestle SA,0.029943076373377977,0.02896277826945754
2020-01-15,Starbucks Corp,0.022132338337353983,0.023551310950397412
2020-01-15,Apple Inc,0.015754951299777872,0.02176397077973588
2020-01-15,British American Tobacco PLC,0.027173726066020813,0.020894188675557906
2020-01-15,Morgan Stanley Liquidity Funds,0.0,0.019278292876968306
2020-01-15,Texas Instruments Inc,0.012930823661288659,0.018750422164085144
2020-01-15,Colgate-Palmolive Co,0.024445587127314615,0.01830919277249919
2020-01-15,Alibaba Group Holding Ltd,0.013484604392839456,0.01754961365115405
2020-01-15,Facebook Inc,0.011711102496284313,0.017388870976597387
2020-01-15,Microsoft Corp,0.011810246830812544,0.016975270246930907
2020-01-15,Moody's Corp,0.01309017908757118,0.01681480480854237
2020-01-15,Cie Financiere Richemont SA,0.013330919054561201,0.015015860567754615
2020-01-15,3M Co,0.013187028889478718,0.014846593031590784
2020-01-15,Automatic Data Processing Inc,0.011240677206639366,0.014563403713610434
2020-01-15,Rockwell Automation Inc,0.011777436689463107,0.01411563347565959
2020-01-15,Assa Abloy AB,0.011521180082780776,0.014068170984951795
2020-01-15,Anheuser-Busch InBev SA/NV,0.01406011874354332,0.013807504044189631
2020-01-16,Visa Inc,0.03266647825075644,0.04217056399826448
2020-01-16,Accenture PLC,0.02329881797461039,0.033108959639116975
2020-01-16,Alphabet Inc,0.0505348688248509,0.033060633682419606
2020-01-16,Nestle SA,0.030080588461401565,0.02907184619330753
2020-01-16,Starbucks Corp,0.022270086851393832,0.023520096183476415
2020-01-16,Apple Inc,0.01587127455648997,0.02190573337513317
2020-01-16,British American Tobacco PLC,0.02678249470492007,0.020430058946822486
2020-01-16,Morgan Stanley Liquidity Funds,0.0,0.01913663016927884
2020-01-16,Texas Instruments Inc,0.012963742956988754,0.018802253217969415
2020-01-16,Colgate-Palmolive Co,0.02430423751581635,0.018179826073632454
2020-01-16,Alibaba Group Holding Ltd,0.01334934357848887,0.017363252943812132
2020-01-16,Facebook Inc,0.011684280556599655,0.017332484741176053
2020-01-16,Microsoft Corp,0.011965559402458264,0.017205925754994432
2020-01-16,Moody's Corp,0.013179128564388532,0.016895344956175916
2020-01-16,3M Co,0.013209807583251085,0.014912904896437013
2020-01-16,Cie Financiere Richemont SA,0.013084683014053135,0.014759744435812586
2020-01-16,Automatic Data Processing Inc,0.011317541422484806,0.014644299334601577
2020-01-16,Rockwell Automation Inc,0.011893176465036305,0.014274656310444798
2020-01-16,Assa Abloy AB,0.011556553431652612,0.014098350638822884
2020-01-16,Anheuser-Busch InBev SA/NV,0.013957271986351242,0.013685407809610988
