yyyymmdd,portfolio,var_%_mv,cvar_%_mv,volatility_1yr,volatility_1yr_vs_msci
2020-01-06,LPPI GEF WELLINGTON BNYMILTD,0.1886228238,0.2563479456,0.115447473,
2020-01-06,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7452123261,0.9865772327000001,0.4576951436,
2020-01-06,OVERALL,0.1798523177,0.2414661551,0.10562212450000001,0.1141278152
2020-01-07,LPPI  GF BARON BNYMILTD BRZEX589145,0.42844365510000004,0.5822266119999999,0.25849812839999997,
2020-01-07,LPPI GEF BARON BNYMILTD,0.21450173849999998,0.2934563662,0.1283848222,
2020-01-07,LPPI GEF CASH ONLY BNYMILTD,2.5e-09,3.4e-09,1.5e-09,
2020-01-07,LPPI GEF FIRST EAGLE BNYMILTD,0.15366562890000002,0.20785821080000003,0.09093870239999999,
2020-01-07,LPPI GEF INTERNAL EQUITY BNYMILTD,0.1980170184,0.26455358019999997,0.1152636962,
2020-01-07,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.2107439991,0.2830128795,0.13257376369999999,
2020-01-07,LPPI GEF MAGELLAN BNYMILTD,0.2079847548,0.2789093012,0.1217792958,
2020-01-07,LPPI GEF ROBECO BNYMILTD,0.16481504730000002,0.22327798649999997,0.0984169481,
2020-01-07,LPPI GEF WELLINGTON BNYMILTD,0.18854315870000002,0.2556987407,0.1154526355,
2020-01-07,LPPI GF FT EGL BNYMILTD BRZEX650557,0.7446708523,0.9856290548,0.4576951436,
2020-01-07,OVERALL,0.1794311092,0.2408635387,0.10559739159999999,0.114140094
2020-01-13,LPPI  GF BARON BNYMILTD BRZEX589145,0.4246718245,0.5752709733,0.2549742424,
2020-01-13,LPPI GEF BARON BNYMILTD,0.2164049589,0.2948316553,0.1282145966,
2020-01-13,LPPI GEF CASH ONLY BNYMILTD,2.1e-09,2.9e-09,1.2e-09,
2020-01-13,LPPI GEF FIRST EAGLE BNYMILTD,0.1530766478,0.2069646101,0.09068906560000001,
2020-01-13,LPPI GEF INTERNAL EQUITY BNYMILTD,0.19825495929999998,0.2638537466,0.1151861972,
2020-01-13,LPPI GEF INTRNL INCUBATOR BNYMILTD,0.21001877189999998,0.2822278273,0.1326395008,
