yyyymmdd,security_name,positions,mkt_val_gbp
20191025,Starbucks Corp,2248104.0,146134646.8542917
20191025,Visa Inc,1528695.0,211957905.78467295
20191028,Accenture PLC,1061355.0,150890141.37448496
20191028,Alphabet Inc,180207.0,180645884.7236259
20191028,Apple Inc,810419.0,156911180.86760476
20191028,British American Tobacco PLC,5628884.0,152767911.76000002
20191028,Colgate-Palmolive Co,2870296.0,150287207.96081784
20191028,London Stock Exchange Group PL,1506720.0,105801878.39999999
20191028,Nestle SA,2654707.0,216818368.42845973
20191028,PepsiCo Inc,1168627.0,124076334.75083572
20191028,Starbucks Corp,2248104.0,146110156.57311666
20191028,Visa Inc,1528695.0,213729696.6493042
